,"(p,q)x(P,Q)",AIC
279,"(2, 3, 3, 3)",-2235.651575390719
280,"(2, 0, 0, 3)",-2235.6009007444254
281,"(1, 1, 1, 3)",-2235.2303189305885
282,"(6, 6, 1, 3)",-2235.0877117620803
283,"(1, 4, 3, 3)",-2234.953312014072
284,"(6, 6, 3, 2)",-2234.5184731393906
285,"(3, 2, 2, 3)",-2233.490272470389
286,"(2, 6, 1, 3)",-2232.9344349838434
287,"(0, 1, 3, 3)",-2232.922888478763
288,"(6, 1, 1, 3)",-2232.5226317748666
289,"(3, 3, 1, 2)",-2232.4353580783254
290,"(2, 1, 1, 3)",-2232.298504798657
291,"(3, 4, 3, 2)",-2232.058754511218
292,"(3, 2, 1, 2)",-2231.7452350375115
293,"(1, 6, 2, 2)",-2231.501173989161
294,"(4, 2, 1, 2)",-2231.439151876134
295,"(7, 6, 0, 3)",-2230.608592197009
296,"(2, 6, 0, 2)",-2230.554222148305
297,"(5, 0, 0, 2)",-2230.5480746636
298,"(4, 0, 0, 2)",-2230.3004606776376
299,"(4, 6, 0, 2)",-2230.1129534398924
300,"(5, 1, 0, 2)",-2229.1544892346246
301,"(6, 2, 1, 2)",-2229.0552803518917
302,"(1, 6, 3, 1)",-2229.0466803151457
303,"(1, 1, 3, 2)",-2228.460557121933
304,"(4, 1, 0, 2)",-2228.0223893280163
305,"(6, 6, 1, 1)",-2227.698638865575
306,"(6, 6, 0, 2)",-2226.86025953059
307,"(3, 1, 3, 3)",-2226.814672190927
308,"(6, 4, 2, 3)",-2225.870701523828
309,"(2, 2, 1, 3)",-2225.8403168855343
310,"(5, 0, 1, 2)",-2225.0493383348603
311,"(3, 0, 1, 2)",-2224.7007294234463
312,"(3, 1, 1, 2)",-2224.4003475273375
313,"(4, 5, 2, 1)",-2224.2495129275976
314,"(4, 5, 2, 2)",-2223.8296694338696
315,"(0, 2, 2, 2)",-2223.728769355983
316,"(3, 0, 1, 3)",-2223.6891371283427
317,"(4, 2, 0, 3)",-2223.471822469269
318,"(4, 5, 0, 2)",-2221.196000718959
319,"(5, 3, 3, 2)",-2218.9057446450574
320,"(0, 6, 1, 2)",-2218.8333071190373
321,"(3, 0, 3, 2)",-2218.8217421177233
322,"(2, 3, 1, 2)",-2217.9547308479005
323,"(0, 2, 3, 1)",-2217.408875752918
324,"(7, 1, 0, 3)",-2217.010387898163
325,"(0, 5, 3, 1)",-2216.4724195107847
326,"(1, 2, 3, 1)",-2215.6072874809615
327,"(0, 6, 2, 1)",-2215.5452117208133
328,"(7, 2, 0, 3)",-2214.900565241205
329,"(6, 1, 1, 2)",-2214.5381501956563
330,"(3, 4, 3, 3)",-2214.500957253458
331,"(0, 4, 3, 1)",-2214.295349150881
